,batchsize,learning_rate,max_dropout,max_units,momentum,num_layers,weight_decay
0,153,0.003145633326484481,0.8660097368089625,839.9376045467503,0.2575108265752736,1,0.015391092494613174
1,269,0.0014989580824233335,0.9690993335291154,126.80951734512442,0.4526430586591814,1,0.044684854264921386
2,253,0.001107888626012272,0.6400531441993247,767.7097841330101,0.8282470240465745,2,0.09829697544101378
3,172,0.06842615483613583,0.9088990486025462,106.74401743950783,0.9439234528857456,3,0.010428483982536724
4,34,0.010657967190872196,0.9820634209729142,83.1230985155747,0.8992102969097286,3,0.09320804758904469
5,28,0.00042494997533244137,0.4906905774139746,541.6332807616973,0.17175213863795505,4,0.09956716715387098
6,30,0.0002026417483802474,0.31265868277147013,166.0248636137725,0.6901464800492391,1,0.011742096358372697
7,35,0.04044583527746135,0.01935101881741097,877.0463431386061,0.7248731605521607,4,0.0710650287166542
8,28,0.0006082636347276456,0.8836381216235699,402.10082315314565,0.7242001042336478,5,0.08590594776885742
9,194,0.001092586603165712,0.926901069937545,178.0543137301835,0.6753998126262852,1,0.01964409837718258
10,80,0.00173226466026311,0.984779177902824,323.39530098208206,0.645845857699683,1,0.013523536866034384
11,37,0.0003096248392688261,0.47730887574395553,94.6126490167341,0.9578302874202649,1,0.07489530582556023
12,171,0.00010176550783806849,0.22282832727091129,800.5337019141766,0.13916970479598081,5,0.07818126957292061
13,22,0.0004907057786019446,0.6800409857268225,187.0105333832577,0.5079128286757055,5,0.06954306724918083
14,70,0.012041806497625835,0.9816799117420707,259.4303925069608,0.9614430629238069,2,0.07288902938777071
15,141,0.00023857769875260863,0.31072138304177155,189.88475992769722,0.29685772216341133,3,0.07088649998786486
16,33,0.00010820697868197723,0.5327782964822034,95.1994879492072,0.5447639465458197,4,0.017709115369164866
17,182,0.005386581390127278,0.01810460902312583,611.1305553672697,0.25756751663560834,5,0.012957888371486677
18,71,0.09550647800899446,0.5889434997263121,227.2571851240626,0.8487735154317535,3,0.007147050679666595
