"","OpenML_task_id","epoch","batch_size","learning_rate","momentum","weight_decay","num_layers","max_units","max_dropout"
"1","189906",45,55,0.0580876733457064,0.285889687689487,0.0522520375309256,4,155,0.303560360334814
"2","167185",3,166,0.0433165676945394,0.270330210211687,0.0283966026736028,5,382,0.580812118249014
"3","189862",3,143,0.000477327789715407,0.278132396496367,0.0262258945745183,1,189,0.663529885467142
"4","189909",49,123,0.00644542323007265,0.804402526298072,0.075943787558442,1,86,0.296897327527404
"5","7593",46,87,0.00615135859810625,0.721921372667421,0.0695119349131896,2,69,0.961466533364728
"6","167181",27,139,0.00031360859894671,0.510288797826506,0.0598323479761696,2,96,0.160033081425354
"7","167185",6,98,0.000143350355747148,0.208726615693886,0.0988165683883336,5,338,0.519496189663187
"8","189906",18,414,0.000336386791483597,0.367851053324994,0.0295133437067363,1,66,0.214216434396803
"9","168329",11,40,0.00558949803059306,0.80802182226209,0.000252951336028054,5,513,0.900835457723588
"10","167152",15,20,0.0121285651550087,0.156361302917358,0.0593969260415854,2,797,0.233715678332373
"11","126029",31,218,0.00566505282765278,0.567850084137172,0.0324718180424324,4,398,0.101478473516181
"12","189905",27,75,0.0020050233442001,0.407201733593829,0.0832885908925394,4,118,0.682394518982619
"13","167083",40,58,0.000122576308329948,0.11678764434997,0.076919653225888,3,124,0.700966998701915
"14","167201",10,464,0.00454914309933017,0.953141222042032,0.0997068952070875,3,432,0.0313164349645376
"15","189866",39,471,0.00474894446254981,0.729907515996601,0.053863268219207,2,444,0.538320610765368
"16","189909",1,81,0.0284648885486463,0.166909798965789,0.0739185713717248,5,806,0.329063107958063
"17","189873",43,323,0.000229644742127809,0.120975828915834,0.00891606278381543,1,76,0.443203970324248
"18","167168",35,146,0.00397864696266274,0.669578847379889,0.0908624619793124,1,181,0.638801052002236
"19","168329",27,24,0.00133158965622028,0.499829565002583,0.0367141747086705,3,68,0.766218334436417
"20","167181",15,374,0.000636244760306061,0.401384404574055,0.0136084320505057,4,618,0.00127332960255444
"21","3945",22,133,0.00501160264540581,0.303858478786424,0.0261975459714304,5,448,0.497170239221305
"22","126029",35,317,0.00563895669388973,0.350964378470089,0.0959209312502993,3,563,0.480651644058526
"23","126026",7,136,0.00315815269078161,0.508714607509319,0.00457804729588563,2,335,0.914485894609243
"24","167161",47,196,0.0170904998875514,0.701501910714433,0.0842383732190775,3,513,0.243098712526262
"25","7593",52,245,0.00160452316504414,0.651410154337063,0.0431014100095118,1,276,0.637152647133917
"26","167152",31,120,0.00388863285763947,0.168234324664809,0.0699864726748853,3,121,0.791454569203779
"27","167184",40,290,0.00708613469051603,0.432960837518331,0.0140739113010815,3,110,0.509544780710712
"28","189354",32,158,0.0172603388333219,0.364654976823367,0.0555130967382225,1,99,0.46718877274543
"29","3945",36,79,0.00019770195656368,0.662369098509662,0.0746450337265129,3,108,0.556453907396644
"30","168335",35,20,0.000433177714752502,0.162101816996001,0.0270238339806115,4,494,0.232560257194564
"31","189862",37,105,0.000581235484888873,0.664151204978116,0.0937509756311658,4,409,0.867489882977679
"32","146212",48,50,0.000214148683914162,0.118713967350777,0.0658750270330557,2,121,0.138819354819134
"33","168335",33,297,0.0959376803848116,0.353162142140791,0.0584524776110472,1,555,0.989275747910142
"34","189906",7,58,0.00999570153879117,0.653202144750394,0.0359513739185827,1,335,0.581803157459944
"35","167185",9,171,0.000250914268472086,0.494706486649811,0.0344838364031585,4,882,0.129583973670378
"36","189866",14,211,0.00438574035505584,0.439383564896416,0.039235407138241,1,317,0.426875859731808
"37","126029",36,208,0.000144915619565123,0.864408662468195,0.018389049089055,3,74,0.381602460984141
"38","168329",8,112,0.0293216594868326,0.565589300526772,0.0241654403863335,2,67,0.196402092231438
"39","34539",19,256,0.0190032774705686,0.787266415802296,0.0811205236437498,3,158,0.342857795301825
"40","167083",7,449,0.0260587000109867,0.911612145851832,0.0422662381412927,4,77,0.350611256901175
"41","189909",48,375,0.00108086054081559,0.983469140839297,0.0718092804152449,4,508,0.579358146293089
"42","126029",26,50,0.000102945209080287,0.910791822979227,0.0666187005100818,5,182,0.573731294367462
"43","3945",38,18,0.00268045727358256,0.242684440910816,0.0405234379329835,5,853,0.206161471782252
"44","167149",2,52,0.00104398928726525,0.168680987672415,0.0920424570284062,1,143,0.747236215975136
"45","189909",50,46,0.0938750489672612,0.982381089215632,0.0610448505223216,1,891,0.558449970092624
"46","189862",6,262,0.0242328670005055,0.482094172018114,0.0637867739465227,4,313,0.453069808427244
"47","34539",2,19,0.0118813773489133,0.583324681078084,0.0411685657072044,2,133,0.972844429779798
"48","167201",52,121,0.000739271439642205,0.347975793734659,0.0970871319976635,3,136,0.535208129091188
"49","189873",27,29,0.000223183246335272,0.831747564277612,0.0777256443443894,3,112,0.885651842923835
"50","167185",24,359,0.000207068515227993,0.758803500507493,0.0479036865369417,5,698,0.58931408287026
"51","189905",29,300,0.0620324370825483,0.605326562025584,0.0209851338110445,5,105,0.224063406465575
"52","146212",46,45,0.00422779088071571,0.154252118647564,0.0916630223073903,1,330,0.434170349035412
"53","126029",40,334,0.00213324286384071,0.504297116168309,0.0170754804908927,1,960,0.93418841669336
"54","167161",24,174,0.00689030591011996,0.867853796228301,0.0937283169796551,3,65,0.962050125235692
"55","167190",48,89,0.015196174062331,0.499927266403101,0.0538449373401259,1,88,0.877501214621589
"56","189862",50,51,0.031095268458421,0.666113891231362,0.0856563693980104,1,492,0.0212626561988145
"57","167190",42,84,0.000132154668711238,0.277079674929846,0.0753777869086759,1,244,0.934850511839613
"58","126026",43,23,0.0639232103784155,0.870281827757135,0.0195258377925889,1,219,0.972708204062656
"59","7593",34,347,0.0557508452212451,0.113015647467691,0.0752466864489182,5,236,0.752341730520129
"60","168331",21,25,0.0234697711172785,0.232300846229773,0.0361563164497796,5,114,0.19406310794875
"61","168908",41,123,0.00217329508261961,0.135000432617962,0.070358864647313,3,537,0.845930537208915
"62","168330",11,85,0.0352536754706663,0.554672159112524,0.0560128846698441,5,169,0.281575562665239
"63","168330",47,379,0.0145597715456809,0.648505198534112,0.0468454858458578,1,227,0.253922756062821
"64","167152",44,265,0.000125657290781646,0.537921852567233,0.008540666106469,1,936,0.992742754751816
"65","189905",49,61,0.0345967116405268,0.568248181163799,0.0333525734288897,1,78,0.539152348181233
"66","189908",48,35,0.00233891892504363,0.195274693949614,0.0740646222312842,4,595,0.0756284485105425
"67","167190",31,58,0.00371002789154312,0.213422620098572,0.09381932424044,2,296,0.540926671121269
"68","168910",48,29,0.000484485810984702,0.227534969765693,0.0190520087430603,4,790,0.189511339413002
"69","168868",25,163,0.0506122448314551,0.387481333732139,0.0368292505023419,3,938,0.90076571283862
